id,tid_not_to_be_used,airline,tag,tweet
72,506268720075796480,SouthWest,dM}c5i95_Wot,@SouthwestAir the upside to being stuck on a plane for a broken toilet is getting to catch the sunset in #vegas http://t.co/E2Lj88YAXT
90,506288523365064704,United,dM}c5i95_Wot,After a 5 hour weather delay in Newark I missed my connecting flight to London so now I have to wait 8 hours to fly back to Newark.. @united
91,506289418479886336,JetBlue,dM}c5i95_Wot,"@ArianFoster never mess around with those old airlines, gotta fly the @jetblue or @airTran"
99,506300921437884416,United,dM}c5i95_Wot,@CTony202 @united walking would probably be preferable #unitedairlines #worstairline
197,506459643020054528,VirginAmerica,dM}c5i95_Wot,@IIJERiiCHOII @VirginAmerica Shit man that sucks
228,506465498981478400,VirginAmerica,dM}c5i95_Wot,"I swear if they don't let @IIJERiiCHOII on his flight Because some asshole cancelled it, I am going to rip @VirginAmerica DICK OFF."
242,506468283609260032,VirginAmerica,dM}c5i95_Wot,"@IIJERiiCHOII @VirginAmerica Well sometimes shit happens and who ya gonna call?.....Gho..... Oh wait sorry wrong movie, meant to quote P,T&amp;A"
318,506510799674695680,SouthWest,dM}c5i95_Wot,@SouthwestAir @mindykaling @SouthwestTheMag  Look the Goddess of Lost Luggage
324,506514982818033664,United,dM}c5i95_Wot,@united lost my baggage and still can't find them. You call yourself an airline?
349,506527380132073472,JetBlue,dM}c5i95_Wot,A @JetBlue @AirbusInTheUS A320 getting ready to leave @FlyTPA for Boston....a perfect 10! #avgeek http://t.co/R9N4QSu00d
359,506532080650821632,American,dM}c5i95_Wot,@sbalaouras @ampetersen @AmericanAir AA is a bad airline.  filing a complaint with dept of trans consumer division to address the problem.
430,506571420235988992,American,dM}c5i95_Wot,"Seriously @united, I can't remember the last time I had a segment that was not delayed.  @americanair, do you match status???"
498,506601243952054272,Delta,dM}c5i95_Wot,@Delta @DeltaAssist More delays! You guys are terrible. No excuses for this delay. Bags need moved after refueling and backing away? #fail
514,506609742824112128,JetBlue,dM}c5i95_Wot,Hey @JetBlue let's pick up the speed on bag pick up. Takes all the fun Out of being early when waiting 30 min.
529,506615960930115584,American,dM}c5i95_Wot,Landed at DCA 2 hrs late w no @USAirways agent at gate to help w connections. @AmericanAir agent said she couldn't help @USAirways flyers
545,506624656368238592,United,dM}c5i95_Wot,@united is shit. But I guess you get what you pay for.
677,506804664357380096,United,dM}c5i95_Wot,"I'm not sure this story proves that we need nut-free buffer zones, just that @United really fucking sucks. http://t.co/UT601GTEU9 (not news)"
728,506834470289555456,SouthWest,dM}c5i95_Wot,"@SouthwestAir's Fancy, New #SocialMedia Hub is Listening for Complaints... http://t.co/xfCxdnKUlC @DBJNicholas / @DallasBizNews #IdeaFire..."
787,506861533260152832,SouthWest,dM}c5i95_Wot,@SouthwestAir my flight says WiFi availability is N/A. Does that mean no WiFi?
800,506867149516701696,United,dM}c5i95_Wot,@united we wait. Until when?
819,506882994339319808,American,dM}c5i95_Wot,Every minute I wait (patiently) for my @AmericanAir plane to board is a whole minute I don't get to make out in Iowa
842,506898303414317056,United,dM}c5i95_Wot,Jeez - @united at it again: my parents purchased #firstclass tickets from the bay to D.C. &amp; were denied access to the lounge. Umm.. #rude
874,506911506173538304,American,dM}c5i95_Wot,@AmericanAir lost not only my 2 checked bags but also lost the carry on that they MADE ME CHECK. Better be here tomorrow. So mad!!
905,506921994080636928,United,dM}c5i95_Wot,"@lilfidget @Gbay99 @united @AlaskaAir united is for nerds, delta is just having a bad game today."
916,506928485697609728,American,dM}c5i95_Wot,"(3) @united &amp; @americanair --- fix all seats so they won't RECLINE so this nonsense of interrupting flights, stops!!!!"
926,506934017871327232,American,dM}c5i95_Wot,.@riprowan @AmericanAir It's the exact same issue we had back on March. Overhead lights going on/off continuously. The attendants can't help
936,506939585805709312,VirginAmerica,dM}c5i95_Wot,Oh @VirginAmerica how I've missed you. It's so nice to be back. #SFO-#ATX!
973,506957377204002816,VirginAmerica,dM}c5i95_Wot,@VirginAmerica aint mad at your new safety video!!! &lt;3 g6
1002,506966875817799680,American,dM}c5i95_Wot,STL to BOS in February = $400. ORD to BOS = $197. Ugh. @SouthwestAir more $ than @AmericanAir. Remember when air travel was cheap?!
1012,506973594124296192,AlaskaAir,dM}c5i95_Wot,"Flight to SEA: new suitcase damaged. Flight to OAK: I sit in window seat watching luggage unloaded. I see why damage happened, @AlaskaAir."
1036,506980131282640896,JetBlue,dM}c5i95_Wot,"@jetblue not seen wife and son in 2 months...and they're stuck at DFW after 714 cancelled. Ugh - so close, yet..."
1059,506990634717442048,United,dM}c5i95_Wot,"@united Actually, it was cancelled because the crew \timed out\"". But we have waited since 7:25pm anyway. http://t.co/6NSvQsJ2O4"""
1073,507007253334212608,American,dM}c5i95_Wot,@OhKee12 @KevinEssence @AmericanAir Airlines are the worst :/
1095,507032038440857600,United,dM}c5i95_Wot,"@united worst experience ever. I underestand the weather delay, and everything but not the terrible service at costumer service. UA5714"
1165,507163333636550656,VirginAmerica,dM}c5i95_Wot,@TheBeerWench: Heading back to SFO via @VirginAmerica. Is 6:45am too early for a beer? Cc: @21stAmendment It's never to early for beer!
1175,507170158339964928,United,dM}c5i95_Wot,@united no wifi or in flight entertainment on my cross country flight? Will you be supplying books at least?
1191,507181619581833216,United,dM}c5i95_Wot,Just realized I lost my crossiant AND neck pillow at the @united check in luggage desk cuz I had to rush to my terminal. Ugh so stressed
1229,507206563233538048,JetBlue,dM}c5i95_Wot,@MellisaRay Have had horrible experience with@JetBlue Never want to fly them again if I can help it.
1327,507284404561903616,American,dM}c5i95_Wot,@AmericanAir Lost my bag last week in London and one employee after another won't help! They treat me as the problem! #AmericanAirlines
1338,507290676417933312,United,dM}c5i95_Wot,@juiceDiem @united @FauciusGaming I would only buy united tickets for someone I hate
1433,507367518852218880,AlaskaAir,dM}c5i95_Wot,"At the Honolulu airport for the next 5 hours. No wifi, half the airport is open air (no a/c), and no @AlaskaAir lounge. #Turable"
1552,507559333794963456,United,dM}c5i95_Wot,@united a ridiculously long time and conflicting statements about my 'delayed' baggage. Never a straight answer.
1612,507605613850165248,American,dM}c5i95_Wot,"@DeltaAssist flight delayed, missed connection due to delay. Finally arrived and 1 of our bags is missing. 2nd flight was @AmericanAir."
1613,507605613850165248,Delta,dM}c5i95_Wot,"@DeltaAssist flight delayed, missed connection due to delay. Finally arrived and 1 of our bags is missing. 2nd flight was @AmericanAir."
1628,507618088913604608,United,dM}c5i95_Wot,@united your policy changes are a joke. Nothing like getting fucked on a return flight because you decided to change things around 2 days b4
1666,507639777517391872,American,dM}c5i95_Wot,"Never flying @USAirways/@AmericanAir  ever again. My first flight was delayed an hour, then missed my 2nd. Then put on a later flight WTF"
1819,507753273067962368,United,dM}c5i95_Wot,"I just decided to drive 6 hours because the only flight available was through @united, and I will never fly united again."
